timestamp,tipo_elemento,elemento,azione_rilevata,gravita,recidivita,risk_score,stato,origine_rilevazione,note
2026-02-23 00:13:50,ACCOUNT,800022,FLUSSO_AML_REAL_TIME,ALTA,1,50,blacklisted,AML_BONIFICI,Partecipa a schema AML verso IBAN IT73R03002032800000000022; totale mittenti: 5
2026-02-23 00:13:58,ACCOUNT,800034,ACCESSO_SIMULTANEO,ALTA,1,40,blacklisted,ACCESSI_SIMULTANEI,Connessioni simultanee da 3 IP; lista: 192.168.10.98 192.168.10.134 192.168.10.35
2026-02-23 00:14:08,IP,192.168.20.3,ACCESSO_NOTTURNO,MEDIA,1,30,blacklisted,ACCESSI_NOTTURNI,Login notturno (2026-02-23T00:14:07.795917); customer: 800040; hostname: UNKNOWN
2026-02-23 00:14:16,IP,192.168.30.234,ATM_PATTERN_ANOMALO,ALTA,1,70,blacklisted,ATM_PORTE,ATM con pattern anomalo (2026-02-23T00:14:15.851463); IP: 192.168.30.234
2026-02-23 00:14:29,IP,192.168.40.76,BRUTE_FORCE_LOGIN,ALTA,1,70,blacklisted,BRUTEFORCE,Attacco brute-force: 10 tentativi in 10s, account vittima: 800085
2026-02-23 00:14:39,IP,208.67.222.222,SUBNET_NON_AUTORIZZATA,MEDIA,1,50,blacklisted,CORRELAZIONE_RETE,IP fuori subnet autorizzate (pubblico); customer: 800084
2026-02-23 00:14:54,IP,192.168.60.104,RICHIESTE_RAPIDE,MEDIA,1,40,blacklisted,PATTERN_API,15 richieste in 15s; customer: 800005
2026-02-23 00:15:03,IP,192.168.70.122,COVERT_CHANNEL_FAKE_OPS,ALTA,1,70,blacklisted,COVERT_CHANNELS,6 operazioni fake (importo=0/NULL); customer: 800041
2026-02-23 00:15:10,IP,192.168.30.96,SUBNET_NON_AUTORIZZATA,ALTA,1,70,blacklisted,INCOERENZA_RETE,Azione BONIFICO da subnet inappropriata: BONIFICO/LOGIN da subnet ATM (dovrebbe essere da clienti); customer: 800036
2026-02-23 00:15:29,IP,192.168.80.5,LOW_SLOW_ATTACK,ALTA,1,60,blacklisted,LOW_SLOW,Rate basso: 0.05 req/s; 3 richieste in 60s; customer: 800025
2026-02-23 00:17:23,IP,192.168.40.197,BRUTE_FORCE_LOGIN,ALTA,1,70,blacklisted,BRUTEFORCE,Attacco brute-force: 10 tentativi in 10s, account vittima: 800054
2026-02-23 00:17:43,ACCOUNT,800005,FLUSSO_AML_REAL_TIME,ALTA,1,50,blacklisted,AML_BONIFICI,Partecipa a schema AML verso IBAN IT59R03002032800000000094; totale mittenti: 5
2026-02-23 00:17:53,IP,192.168.20.3,ACCESSO_NOTTURNO,ALTA,2,50,blacklisted,ACCESSI_NOTTURNI,Login notturno (2026-02-23T00:17:52.671597); customer: 800059; hostname: UNKNOWN [RECIDIVO]
2026-02-23 00:18:07,IP,192.168.60.110,RICHIESTE_RAPIDE,MEDIA,1,40,blacklisted,PATTERN_API,15 richieste in 15s; customer: 800006
2026-02-23 00:18:31,IP,192.168.30.254,SUBNET_NON_AUTORIZZATA,ALTA,1,70,blacklisted,INCOERENZA_RETE,Azione BONIFICO da subnet inappropriata: BONIFICO/LOGIN da subnet ATM (dovrebbe essere da clienti); customer: 800044
2026-02-23 00:47:50,IP,192.168.30.231,SUBNET_NON_AUTORIZZATA,ALTA,1,70,blacklisted,INCOERENZA_RETE,Azione BONIFICO da subnet inappropriata: BONIFICO/LOGIN da subnet ATM (dovrebbe essere da clienti); customer: 800062
2026-02-23 01:01:39,IP,9.9.9.9,SUBNET_NON_AUTORIZZATA,MEDIA,1,50,blacklisted,CORRELAZIONE_RETE,IP fuori subnet autorizzate (pubblico); customer: 800070
2026-02-23 01:02:01,IP,192.168.80.15,LOW_SLOW_ATTACK,ALTA,1,60,blacklisted,LOW_SLOW,Rate basso: 0.05 req/s; 3 richieste in 60s; customer: 800044
2026-02-23 01:02:52,IP,192.168.30.58,SUBNET_NON_AUTORIZZATA,ALTA,1,70,blacklisted,INCOERENZA_RETE,Azione BONIFICO da subnet inappropriata: BONIFICO/LOGIN da subnet ATM (dovrebbe essere da clienti); customer: 800042
2026-02-23 01:09:54,ACCOUNT,800005,ACCESSO_SIMULTANEO,CRITICA,2,60,blacklisted,ACCESSI_SIMULTANEI,Connessioni simultanee da 3 IP; lista: 192.168.10.160 192.168.10.157 192.168.10.15 [RECIDIVO]
2026-02-23 01:16:18,IP,192.168.30.12,ATM_PATTERN_ANOMALO,CRITICA,1,100,blocked,ATM_PORTE,ATM con pattern anomalo (2026-02-23T01:16:17.623159); IP: 192.168.30.12
2026-02-23 01:19:17,IP,192.168.70.53,COVERT_CHANNEL_FAKE_OPS,ALTA,1,70,blacklisted,COVERT_CHANNELS,6 operazioni fake (importo=0/NULL); customer: 800054
2026-02-23 01:19:17,IP,192.168.70.53,API_SOSPESA,CRITICA,2,100,blocked,COVERT_CHANNELS,API sospesa per operazioni fake; customer: 800054 [RECIDIVO]
