customer_id,first_name,last_name,tax_code,email,phone_number,address,city,postal_code,country,password_hash,two_factor_enabled,account_status,account_id,iban,account_type,account_balance,currency,card_id,card_number,card_expiry,card_status,last_login,opened_at
800000,Davide,Bianchi,IZJAXPCIKPCNKCQC,user0@mail.it,393337521626,Via San Bernardino 18,Bergamo,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$898YZSibTs+BGJIgjDxBbA$J3Kexi5Bn8ih809F7E8lZuqVE2bqY/F+dhtwDkizbfI",False,active,900000,IT59R03002032800000000000,checking,5889.84,EUR,700000,4197999373035803,12/30,active,,2024-01-01T00:00:00
800001,Marco,Riva,BRVDVZIZOMOYVGYT,user1@mail.it,393326102991,Via Moroni 39,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$GD557zt7Qgh//2U+yhsXPw$ikWfS9T4Ffp9vjf82eUDCHu+FrYuoYyogBK9FCz8z+w",False,active,900001,IT65R03002032800000000001,savings,2954.77,EUR,700001,4062769135552668,09/30,active,,2024-01-02T00:00:00
800002,Davide,Galli,ENETNZFHDTTSBALQ,user2@mail.it,393374599104,Via Roma 16,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$CXEBvI+r0NPx52Q0H6xw9w$RvnwZRCSyUiVBRE58xgbtko8mL7cEBMM1aGPIBeDImo",True,active,900002,IT98R03002032800000000002,checking,5331.73,EUR,700002,4521989547058161,12/30,active,,2024-01-03T00:00:00
800003,Elena,Moretti,BVNHFRARCBLFARTH,user3@mail.it,393326049249,Via Broseta 44,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$b5yfEijpYSN+ssESmOeTGQ$x+VcFxUakt+hm7w2xorpAPtJWej1KsCTTc3ZRcYqJhQ",True,active,900003,IT43R03002032800000000003,checking,6046.87,EUR,700003,4621984395865135,06/26,active,,2024-01-04T00:00:00
800004,Andrea,Ferrari,MLXLLRWCMYSRXVXB,user4@mail.it,393328756959,Via San Bernardino 23,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$AT3CMd4QZdAo8e9LePWIew$tJbqbr8c84ib2fDMuaVgsgl/H2JU66qtHdBK5hr71eg",True,active,900004,IT44R03002032800000000004,savings,7193.24,EUR,700004,4521976119995724,11/26,active,,2024-01-05T00:00:00
800005,Matteo,Bianchi,OUVPHTSYOAVMZLGL,user5@mail.it,393341509462,Via Broseta 20,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$5n17z39J3UHRNmUOlhJTiA$1USU8Qyluu6kuuknlGaYHSuCFSWuy+e0YJVufl+PdXo",False,active,900005,IT70R03002032800000000005,checking,5393.22,EUR,700005,4512842253787504,08/26,active,,2024-01-06T00:00:00
800006,Matteo,Conti,PKIIDLETYHFMXHGP,user6@mail.it,393353977928,Via Moroni 12,Dalmine,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$dssD4k1drM2LiZUOMvgNKw$ALeK2V6zU8HgOofRhdMLx9kp6c4wpzKUxOmtEV+1M+Y",True,active,900006,IT82R03002032800000000006,checking,6195.61,EUR,700006,4814266299698651,07/28,active,,2024-01-07T00:00:00
800007,Andrea,Conti,IJOGXRDQAFGYBLWT,user7@mail.it,393389307505,Via XX Settembre 22,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$hgi+RJ6osO8lmvRdisu2Cg$CPZvP+yEpj++Fkoo4wfbNltuBW+Nk4zi6lRsFBPowD4",True,active,900007,IT47R03002032800000000007,savings,3234.4,EUR,700007,4060847944063264,02/26,active,,2024-01-08T00:00:00
800008,Elena,Villa,WVYNAFKAULAMMDKQ,user8@mail.it,393370108563,Via Broseta 50,Bergamo,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$toaq3L2jmAUB9udk+pnfYw$HORuQOz/cJFMfIbJzzmR9TDWieBdNia4WClbntdyWMk",False,active,900008,IT93R03002032800000000008,checking,2608.49,EUR,700008,4406902402457598,11/27,active,,2024-01-09T00:00:00
800009,Elena,Bianchi,MWDJMLOUMPQRQLTL,user9@mail.it,393311803991,Via Roma 36,Dalmine,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$wjxIKxhE4Zhdbr1d9lnePg$IymxE02GOKekXEZ84W3FbKRmUy30Dt05IeUMQARKWUg",True,active,900009,IT20R03002032800000000009,savings,7306.52,EUR,700009,4636938220793964,09/29,active,,2024-01-10T00:00:00
800010,Chiara,Neri,VMVLKGGQUJKQZXGC,user10@mail.it,393325828247,Via Moroni 9,Dalmine,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$ujHP28CBh+ujemD24L+x7g$7NCDrwMpFbxvWAzqyEGVCOmyGTY/cIJ4nvLfuTs5J8Y",False,active,900010,IT18R03002032800000000010,savings,415.98,EUR,700010,4706492108343898,07/30,active,,2024-01-11T00:00:00
800011,Paolo,Conti,YJJSLCHKYLUVVSFJ,user11@mail.it,393368532156,Via Roma 1,Dalmine,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$q0xYsbMHNF8wuPy4UM3B+A$ihx4X8z35TwxpWCa7hYES5r+3XilocrelXndgLIO67c",False,active,900011,IT10R03002032800000000011,checking,7810.04,EUR,700011,4562775145796261,01/26,active,,2024-01-12T00:00:00
800012,Elena,Neri,TMQIRLVXVNCODDGV,user12@mail.it,393346964897,Via San Bernardino 44,Seriate,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$IjXI/qi8/XEJnik6qWHpSw$XIsBR9Bo7LMrdyv/7veF61GpFDXesd163Xqq1GyF5Jw",True,active,900012,IT22R03002032800000000012,savings,1725.24,EUR,700012,4221332478094557,12/30,active,,2024-01-13T00:00:00
800013,Davide,Neri,RIDBHOPQIRNTLGNN,user13@mail.it,393339647242,Via Broseta 5,Dalmine,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$WUcQ/sprMyK4Wvw2O3rm5Q$VuNkudD78zEOC18RYFlO0gJUpW3Y9KbYLVqo76x0t8w",True,active,900013,IT11R03002032800000000013,savings,7955.92,EUR,700013,4667512645157577,04/27,active,,2024-01-14T00:00:00
800014,Giulia,Riva,LYRBCSFDOMXDZJZI,user14@mail.it,393336823983,Via Moroni 5,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$1Itaf9E2Ee8Jx7yEYSf8Fg$+31WdbI5a4jVB/3zO/HRl4JwmmMRPmiJnwguWrvytws",False,active,900014,IT30R03002032800000000014,checking,3323.28,EUR,700014,4379433459832503,06/30,active,,2024-01-15T00:00:00
800015,Davide,Ferrari,VHRTXGPAYWZGKMSO,user15@mail.it,393311245260,Via San Bernardino 13,Seriate,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$Ld9o6j+Aoc4/pv2Yhc19Og$Ze9ExxoeRMFpc+A5/XXA9jAZIOp6HzMyU1cFQqsMKcY",True,active,900015,IT63R03002032800000000015,savings,311.81,EUR,700015,4944204494116980,10/26,active,,2024-01-16T00:00:00
800016,Sara,Neri,ETVPUQEWAIIDGMMQ,user16@mail.it,393354075996,Via Broseta 8,Seriate,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$bYLG9+RVa1O4+kPJAv4Etw$m0iW/AXny6PeBkJkgIrS1zPhdCHcufrpzA41/ddqOyQ",False,active,900016,IT42R03002032800000000016,savings,2746.03,EUR,700016,4510021431742685,02/27,active,,2024-01-17T00:00:00
800017,Andrea,Riva,GPCAGRHQFZFCOXYF,user17@mail.it,393381146949,Via XX Settembre 39,Seriate,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$AfCZz0sYNBnQICJAHetQHQ$a83XHr8p/xW4DYgRMNU0MN4THyu9XFpnniV7el6oDNg",False,active,900017,IT11R03002032800000000017,savings,8548.38,EUR,700017,4485726657783980,02/26,active,,2024-01-18T00:00:00
800018,Davide,Moretti,AXEMUADRFJWYIVFT,user18@mail.it,393367769315,Via Roma 8,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$INJLT7fBsRSNJjgNqeEqgQ$3kJe6aNbvoQ7aHuukpFKMFKVGelEjk8PAkfP+j9SYeA",True,active,900018,IT79R03002032800000000018,checking,7182.31,EUR,700018,4636974329618225,11/30,active,,2024-01-19T00:00:00
800019,Elena,Neri,FFDMRPVKRPKWMEPA,user19@mail.it,393355846788,Via Broseta 45,Bergamo,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$dzh4b0FrDNwxgB+N1QflZw$XkFUqyKtaM3/AJ9PKhAOjBpU5jGCj4wECQbEW3BN6IE",False,active,900019,IT77R03002032800000000019,checking,7197.16,EUR,700019,4351201488545325,01/29,active,,2024-01-20T00:00:00
800020,Matteo,Riva,OXBGJIJJPTXAKMDW,user20@mail.it,393382148601,Via San Bernardino 19,Treviglio,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$UBefZXj/4Ee5iYYly+o4bA$Usd7qimTOYNrDJHfib6D32rPPSPj9bu8cfik/wiwPes",False,active,900020,IT98R03002032800000000020,savings,1062.04,EUR,700020,4351024917765886,10/26,active,,2024-01-21T00:00:00
800021,Sara,Moretti,YJFKLZIEUJPRLVNK,user21@mail.it,393340910517,Via Garibaldi 44,Bergamo,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$dnyFouqBSQwc6dgMPOfa3w$6ZDwOlZVVwDVcVzh+LihefB7fzeuD0BKAPItBlwE7j4",True,active,900021,IT41R03002032800000000021,savings,161.41,EUR,700021,4800237066517377,05/26,active,,2024-01-22T00:00:00
800022,Elena,Moretti,NADWGZAYFYYHAKNP,user22@mail.it,393328229915,Via Moroni 43,Albino,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$yt3ZVzRvUZLvfwnmK/kPXg$nzG5VNDqfuXysGCLtRl6FPqmLJ1d6+zm4KLKZnUEa0M",True,active,900022,IT73R03002032800000000022,savings,2922.12,EUR,700022,4828005159161554,08/29,active,,2024-01-23T00:00:00
800023,Andrea,Neri,TTEHCNQVUPKKFOXS,user23@mail.it,393347673230,Via Roma 34,Seriate,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$HRVlU39aNy/ra1D2mw/7Cw$8KhOazUhpRjjDgbWXGufUGsfMGTIWn1W8gGAn7AG+8U",False,active,900023,IT68R03002032800000000023,checking,3700.53,EUR,700023,4582659191631637,10/26,active,,2024-01-24T00:00:00
800024,Andrea,Colombo,JDRWPVLFKUCPMYJX,user24@mail.it,393314017945,Via San Bernardino 29,Treviglio,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$jN/gGrOxgVdFTY3TM8FIhQ$8dsXAcGECZ7B5HudgvjaMW1LvsU6KkWRmotIklTlyjA",False,active,900024,IT78R03002032800000000024,checking,6952.34,EUR,700024,4811429387377748,09/27,active,,2024-01-25T00:00:00
800025,Luca,Bianchi,TOVTNSGOYOQWCUFM,user25@mail.it,393335559534,Via Moroni 40,Seriate,24100,Italy,"$argon2id$v=19$m=65536,t=3,p=4$wj7y3OkbAcW+BMyAGNJZRA$iBFaTC300zkZPyQiOTPfbjoo/OPFWKVi5WLqynp0xIs",False,active,900025,IT41R03002032800000000025,checking,235.58,EUR,700025,4920419894736777,10/28,active,,2024-01-26T00:00:00
